path,sizeKB,ext,LOC,lastModified,category
"/home/bk13/Documents/ALG-EcoTour/components/layout/Sidebar.tsx",1,tsx,63,1767629840,unknown
"/home/bk13/Documents/ALG-EcoTour/components/layout/Footer.tsx",1,tsx,47,1767629840,unknown
"/home/bk13/Documents/ALG-EcoTour/components/layout/Header.tsx",0,tsx,31,1768418381,unknown
"/home/bk13/Documents/ALG-EcoTour/next-env.d.ts",0,ts,6,1768423366,unknown
"/home/bk13/Documents/ALG-EcoTour/package-lock.json",267,json,0,1768422544,config
"/home/bk13/Documents/ALG-EcoTour/middleware.ts",5,ts,183,1768422576,unknown
"/home/bk13/Documents/ALG-EcoTour/docs/audit/INVENTORY_TREE.txt",3,txt,0,1768424984,docs
"/home/bk13/Documents/ALG-EcoTour/docs/audit/INVENTORY_FILES.csv",7,csv,0,1768425025,unknown
"/home/bk13/Documents/ALG-EcoTour/postcss.config.mjs",0,mjs,0,1767620314,config
"/home/bk13/Documents/ALG-EcoTour/package.json",1,json,0,1768422544,config
"/home/bk13/Documents/ALG-EcoTour/auth.ts",2,ts,106,1768417698,unknown
"/home/bk13/Documents/ALG-EcoTour/.env",0,env,0,1767639988,unknown
"/home/bk13/Documents/ALG-EcoTour/lib/prisma.ts",0,ts,17,1767629245,unknown
"/home/bk13/Documents/ALG-EcoTour/lib/validation.ts",3,ts,153,1768422705,unknown
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/README.md",2,md,0,1767620314,docs
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/.metadata",0,metadata,0,1767620314,unknown
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/SETUP.md",1,md,0,1767620314,docs
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/.gitignore",0,gitignore,0,1767620314,unknown
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/analysis_options.yaml",1,yaml,0,1767620314,config
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/pubspec.yaml",0,yaml,0,1767620314,config
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/test/widget_test.dart",1,dart,30,1767620314,unknown
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/pubspec.lock",20,lock,0,1767620314,unknown
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/lib/main.dart",2,dart,66,1767620314,unknown
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/lib/models/tour.dart",1,dart,59,1767620314,unknown
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/lib/screens/tours/tour_detail_screen.dart",12,dart,374,1767620314,unknown
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/lib/screens/tours/tour_list_screen.dart",6,dart,185,1767620314,unknown
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/lib/screens/home_screen.dart",5,dart,170,1767620314,unknown
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/lib/screens/auth/login_screen.dart",5,dart,165,1767620314,unknown
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/lib/screens/auth/signup_screen.dart",7,dart,220,1767620314,unknown
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/lib/services/api_service.dart",3,dart,139,1767620314,unknown
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/web/index.html",1,html,0,1767620314,unknown
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/web/favicon.png",0,png,0,1767620314,assets
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/web/manifest.json",0,json,0,1767620314,config
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/web/icons/Icon-maskable-512.png",20,png,0,1767620314,assets
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/web/icons/Icon-512.png",8,png,0,1767620314,assets
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/web/icons/Icon-192.png",5,png,0,1767620314,assets
"/home/bk13/Documents/ALG-EcoTour/ALG-ecoTour-app/web/icons/Icon-maskable-192.png",5,png,0,1767620314,assets
"/home/bk13/Documents/ALG-EcoTour/prisma/schema.prisma",1,prisma,0,1767734389,unknown
"/home/bk13/Documents/ALG-EcoTour/prisma/seed.ts",4,ts,109,1767645264,unknown
